Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,AZ 09,Federal,STEVE FERRARA - US CONGRESS AS-09,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 09/STEVE FERRARA - US CONGRESS AS-09,,KPHO-TV
2018,,Non-Candidate Issue Ads,45 COMMITTEE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/45 COMMITTEE,,KPHO-TV
2018,,Non-Candidate Issue Ads,ACLU,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU,,KPHO-TV
2018,,Non-Candidate Issue Ads,AFSCME PEOPLE AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCME PEOPLE AZ,,KPHO-TV
2018,,Non-Candidate Issue Ads,ARIZONA EDUCATION PROJECT,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA EDUCATION PROJECT,,KPHO-TV
2018,,Non-Candidate Issue Ads,ARIZONA FOR FREEDOM,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA FOR FREEDOM,,KPHO-TV
2018,,Non-Candidate Issue Ads,ARIZONA REPUBLICAN PARTY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA REPUBLICAN PARTY,,KPHO-TV
2018,,Non-Candidate Issue Ads,DAGA PEOPLES LAWYER PROJECT,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA PEOPLES LAWYER PROJECT,,KPHO-TV
2018,,Non-Candidate Issue Ads,DCCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,,KPHO-TV
2018,,Non-Candidate Issue Ads,DEFEND ARIZONA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DEFEND ARIZONA,,KPHO-TV
2018,,Non-Candidate Issue Ads,DSCC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC IE,,KPHO-TV
2018,,Non-Candidate Issue Ads,HOUSE MAJORITY PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/HOUSE MAJORITY PAC,,KPHO-TV
